state_index,sample_index,source_row,subset_size,queried_experts,oracle_winner,old_absolute_error_selected,pairwise_reranker_selected,winner_classifier_selected,true_errors,old_predicted_errors,pairwise_scores,winner_logits,old_regret,pairwise_regret,classifier_regret
24,0,0,3,PatchTST + TimesNet + ModernTCN,PatchTST,TimesNet,PatchTST,PatchTST,"{""ModernTCN"": 0.4346129596233368, ""PatchTST"": 0.41421839594841003, ""TimesNet"": 0.524795413017273}","{""ModernTCN"": 0.5596054792404175, ""PatchTST"": 0.6072754263877869, ""TimesNet"": 0.5534824132919312}","{""ModernTCN"": -1.6679532527923584, ""PatchTST"": 2.8182363510131836, ""TimesNet"": -1.1327311992645264}","{""ModernTCN"": -1.090467929840088, ""PatchTST"": 3.770726442337036, ""TimesNet"": -0.06469538807868958}",0.11057701706886292,0.0,0.0
26,0,0,4,DLinear + PatchTST + iTransformer + TimesNet,PatchTST,DLinear,PatchTST,PatchTST,"{""DLinear"": 0.4485236704349518, ""PatchTST"": 0.41421839594841003, ""TimesNet"": 0.524795413017273, ""iTransformer"": 0.43751397728919983}","{""DLinear"": 0.5165483951568604, ""PatchTST"": 0.6072754263877869, ""TimesNet"": 0.5534824132919312, ""iTransformer"": 0.5526326298713684}","{""DLinear"": 2.2645721435546875, ""PatchTST"": 2.6659352779388428, ""TimesNet"": -0.8132514953613281, ""iTransformer"": -0.8592249155044556}","{""DLinear"": 2.9281184673309326, ""PatchTST"": 3.7809479236602783, ""TimesNet"": 0.44154053926467896, ""iTransformer"": -0.5423845648765564}",0.03430527448654175,0.0,0.0
27,0,0,4,DLinear + PatchTST + iTransformer + ModernTCN,PatchTST,DLinear,PatchTST,PatchTST,"{""DLinear"": 0.4485236704349518, ""ModernTCN"": 0.4346129596233368, ""PatchTST"": 0.41421839594841003, ""iTransformer"": 0.43751397728919983}","{""DLinear"": 0.5165483951568604, ""ModernTCN"": 0.5596054792404175, ""PatchTST"": 0.6072754263877869, ""iTransformer"": 0.5526326298713684}","{""DLinear"": 2.4774913787841797, ""ModernTCN"": -1.7267619371414185, ""PatchTST"": 2.5445380210876465, ""iTransformer"": -1.8527624607086182}","{""DLinear"": 3.4822654724121094, ""ModernTCN"": -0.5934917330741882, ""PatchTST"": 4.167460918426514, ""iTransformer"": -1.1929354667663574}",0.03430527448654175,0.0,0.0
28,0,0,4,DLinear + PatchTST + TimesNet + ModernTCN,PatchTST,DLinear,PatchTST,PatchTST,"{""DLinear"": 0.4485236704349518, ""ModernTCN"": 0.4346129596233368, ""PatchTST"": 0.41421839594841003, ""TimesNet"": 0.524795413017273}","{""DLinear"": 0.5165483951568604, ""ModernTCN"": 0.5596054792404175, ""PatchTST"": 0.6072754263877869, ""TimesNet"": 0.5534824132919312}","{""DLinear"": 2.1992950439453125, ""ModernTCN"": -1.8547297716140747, ""PatchTST"": 2.624955177307129, ""TimesNet"": -0.8354588747024536}","{""DLinear"": 2.804471254348755, ""ModernTCN"": -1.1756770610809326, ""PatchTST"": 3.733595132827759, ""TimesNet"": 0.4068300127983093}",0.03430527448654175,0.0,0.0
30,0,0,4,PatchTST + iTransformer + TimesNet + ModernTCN,PatchTST,iTransformer,PatchTST,PatchTST,"{""ModernTCN"": 0.4346129596233368, ""PatchTST"": 0.41421839594841003, ""TimesNet"": 0.524795413017273, ""iTransformer"": 0.43751397728919983}","{""ModernTCN"": 0.5596054792404175, ""PatchTST"": 0.6072754263877869, ""TimesNet"": 0.5534824132919312, ""iTransformer"": 0.5526326298713684}","{""ModernTCN"": -1.5037004947662354, ""PatchTST"": 2.8312439918518066, ""TimesNet"": -0.8655556440353394, ""iTransformer"": -0.8513082265853882}","{""ModernTCN"": -0.725299596786499, ""PatchTST"": 3.985847234725952, ""TimesNet"": 0.402002215385437, ""iTransformer"": -0.4917341470718384}",0.023295581340789795,0.0,0.0
31,0,0,5,DLinear + PatchTST + iTransformer + TimesNet + ModernTCN,PatchTST,DLinear,PatchTST,PatchTST,"{""DLinear"": 0.4485236704349518, ""ModernTCN"": 0.4346129596233368, ""PatchTST"": 0.41421839594841003, ""TimesNet"": 0.524795413017273, ""iTransformer"": 0.43751397728919983}","{""DLinear"": 0.5165483951568604, ""ModernTCN"": 0.5596054792404175, ""PatchTST"": 0.6072754263877869, ""TimesNet"": 0.5534824132919312, ""iTransformer"": 0.5526326298713684}","{""DLinear"": 2.276931047439575, ""ModernTCN"": -1.6688549518585205, ""PatchTST"": 2.691697597503662, ""TimesNet"": -0.5825386047363281, ""iTransformer"": -1.1526494026184082}","{""DLinear"": 3.0505142211914062, ""ModernTCN"": -0.8014892339706421, ""PatchTST"": 3.982142448425293, ""TimesNet"": 0.8274940252304077, ""iTransformer"": -0.7091712951660156}",0.03430527448654175,0.0,0.0
38,1,1,2,DLinear + PatchTST,PatchTST,DLinear,PatchTST,PatchTST,"{""DLinear"": 0.5923384428024292, ""PatchTST"": 0.5599779486656189}","{""DLinear"": 0.5163750648498535, ""PatchTST"": 0.6074386239051819}","{""DLinear"": 2.672124147415161, ""PatchTST"": 2.731874465942383}","{""DLinear"": 3.2412900924682617, ""PatchTST"": 4.097248077392578}",0.0323604941368103,0.0,0.0
42,1,1,2,PatchTST + iTransformer,PatchTST,iTransformer,PatchTST,PatchTST,"{""PatchTST"": 0.5599779486656189, ""iTransformer"": 0.6085742115974426}","{""PatchTST"": 0.6074386239051819, ""iTransformer"": 0.5529428720474243}","{""PatchTST"": 2.683291435241699, ""iTransformer"": -0.79679274559021}","{""PatchTST"": 4.315615177154541, ""iTransformer"": -0.36079463362693787}",0.04859626293182373,0.0,0.0
43,1,1,2,PatchTST + TimesNet,PatchTST,TimesNet,PatchTST,PatchTST,"{""PatchTST"": 0.5599779486656189, ""TimesNet"": 0.654617428779602}","{""PatchTST"": 0.6074386239051819, ""TimesNet"": 0.5538197755813599}","{""PatchTST"": 2.943513870239258, ""TimesNet"": -1.5048038959503174}","{""PatchTST"": 4.025970935821533, ""TimesNet"": -0.6157731413841248}",0.09463948011398315,0.0,0.0
44,1,1,2,PatchTST + ModernTCN,PatchTST,ModernTCN,PatchTST,PatchTST,"{""ModernTCN"": 0.593706488609314, ""PatchTST"": 0.5599779486656189}","{""ModernTCN"": 0.5597070455551147, ""PatchTST"": 0.6074386239051819}","{""ModernTCN"": -2.6105613708496094, ""PatchTST"": 2.9917702674865723}","{""ModernTCN"": -1.9246199131011963, ""PatchTST"": 4.064509391784668}",0.03372853994369507,0.0,0.0
48,1,1,3,DLinear + PatchTST + iTransformer,PatchTST,DLinear,PatchTST,PatchTST,"{""DLinear"": 0.5923384428024292, ""PatchTST"": 0.5599779486656189, ""iTransformer"": 0.6085742115974426}","{""DLinear"": 0.5163750648498535, ""PatchTST"": 0.6074386239051819, ""iTransformer"": 0.5529428720474243}","{""DLinear"": 2.624687910079956, ""PatchTST"": 2.927384853363037, ""iTransformer"": -0.5011379718780518}","{""DLinear"": 3.2126801013946533, ""PatchTST"": 4.2729082107543945, ""iTransformer"": -0.24980828166007996}",0.0323604941368103,0.0,0.0
49,1,1,3,DLinear + PatchTST + TimesNet,PatchTST,DLinear,PatchTST,PatchTST,"{""DLinear"": 0.5923384428024292, ""PatchTST"": 0.5599779486656189, ""TimesNet"": 0.654617428779602}","{""DLinear"": 0.5163750648498535, ""PatchTST"": 0.6074386239051819, ""TimesNet"": 0.5538197755813599}","{""DLinear"": 2.316798210144043, ""PatchTST"": 2.8608908653259277, ""TimesNet"": -1.4505552053451538}","{""DLinear"": 2.580923318862915, ""PatchTST"": 3.770819664001465, ""TimesNet"": -0.6160100698471069}",0.0323604941368103,0.0,0.0
50,1,1,3,DLinear + PatchTST + ModernTCN,PatchTST,DLinear,PatchTST,PatchTST,"{""DLinear"": 0.5923384428024292, ""ModernTCN"": 0.593706488609314, ""PatchTST"": 0.5599779486656189}","{""DLinear"": 0.5163750648498535, ""ModernTCN"": 0.5597070455551147, ""PatchTST"": 0.6074386239051819}","{""DLinear"": 2.3790969848632812, ""ModernTCN"": -2.6489596366882324, ""PatchTST"": 3.023357391357422}","{""DLinear"": 2.7755515575408936, ""ModernTCN"": -1.9972012042999268, ""PatchTST"": 4.17337703704834}",0.0323604941368103,0.0,0.0
54,1,1,3,PatchTST + iTransformer + TimesNet,PatchTST,iTransformer,PatchTST,PatchTST,"{""PatchTST"": 0.5599779486656189, ""TimesNet"": 0.654617428779602, ""iTransformer"": 0.6085742115974426}","{""PatchTST"": 0.6074386239051819, ""TimesNet"": 0.5538197755813599, ""iTransformer"": 0.5529428720474243}","{""PatchTST"": 3.1755661964416504, ""TimesNet"": -1.2790019512176514, ""iTransformer"": 0.1473529040813446}","{""PatchTST"": 4.180750370025635, ""TimesNet"": -0.3525823950767517, ""iTransformer"": 0.18063770234584808}",0.04859626293182373,0.0,0.0
55,1,1,3,PatchTST + iTransformer + ModernTCN,PatchTST,iTransformer,PatchTST,PatchTST,"{""ModernTCN"": 0.593706488609314, ""PatchTST"": 0.5599779486656189, ""iTransformer"": 0.6085742115974426}","{""ModernTCN"": 0.5597070455551147, ""PatchTST"": 0.6074386239051819, ""iTransformer"": 0.5529428720474243}","{""ModernTCN"": -2.3617987632751465, ""PatchTST"": 3.0951850414276123, ""iTransformer"": -0.3564125895500183}","{""ModernTCN"": -1.5384960174560547, ""PatchTST"": 4.369014263153076, ""iTransformer"": -0.10357813537120819}",0.04859626293182373,0.0,0.0
56,1,1,3,PatchTST + TimesNet + ModernTCN,PatchTST,TimesNet,PatchTST,PatchTST,"{""ModernTCN"": 0.593706488609314, ""PatchTST"": 0.5599779486656189, ""TimesNet"": 0.654617428779602}","{""ModernTCN"": 0.5597070455551147, ""PatchTST"": 0.6074386239051819, ""TimesNet"": 0.5538197755813599}","{""ModernTCN"": -2.1965792179107666, ""PatchTST"": 3.1173739433288574, ""TimesNet"": -1.2360734939575195}","{""ModernTCN"": -1.7847673892974854, ""PatchTST"": 3.9204559326171875, ""TimesNet"": -0.4239843487739563}",0.09463948011398315,0.0,0.0
58,1,1,4,DLinear + PatchTST + iTransformer + TimesNet,PatchTST,DLinear,PatchTST,PatchTST,"{""DLinear"": 0.5923384428024292, ""PatchTST"": 0.5599779486656189, ""TimesNet"": 0.654617428779602, ""iTransformer"": 0.6085742115974426}","{""DLinear"": 0.5163750648498535, ""PatchTST"": 0.6074386239051819, ""TimesNet"": 0.5538197755813599, ""iTransformer"": 0.5529428720474243}","{""DLinear"": 2.347527503967285, ""PatchTST"": 3.119096279144287, ""TimesNet"": -1.1546015739440918, ""iTransformer"": 0.17784318327903748}","{""DLinear"": 2.6583001613616943, ""PatchTST"": 4.0497965812683105, ""TimesNet"": -0.23739004135131836, ""iTransformer"": 0.20390725135803223}",0.0323604941368103,0.0,0.0
59,1,1,4,DLinear + PatchTST + iTransformer + ModernTCN,PatchTST,DLinear,PatchTST,PatchTST,"{""DLinear"": 0.5923384428024292, ""ModernTCN"": 0.593706488609314, ""PatchTST"": 0.5599779486656189, ""iTransformer"": 0.6085742115974426}","{""DLinear"": 0.5163750648498535, ""ModernTCN"": 0.5597070455551147, ""PatchTST"": 0.6074386239051819, ""iTransformer"": 0.5529428720474243}","{""DLinear"": 2.510737657546997, ""ModernTCN"": -2.4042725563049316, ""PatchTST"": 3.1242294311523438, ""iTransformer"": -0.704300045967102}","{""DLinear"": 3.095691204071045, ""ModernTCN"": -1.5744271278381348, ""PatchTST"": 4.481839656829834, ""iTransformer"": -0.4006274342536926}",0.0323604941368103,0.0,0.0
60,1,1,4,DLinear + PatchTST + TimesNet + ModernTCN,PatchTST,DLinear,PatchTST,PatchTST,"{""DLinear"": 0.5923384428024292, ""ModernTCN"": 0.593706488609314, ""PatchTST"": 0.5599779486656189, ""TimesNet"": 0.654617428779602}","{""DLinear"": 0.5163750648498535, ""ModernTCN"": 0.5597070455551147, ""PatchTST"": 0.6074386239051819, ""TimesNet"": 0.5538197755813599}","{""DLinear"": 2.2102091312408447, ""ModernTCN"": -2.4262561798095703, ""PatchTST"": 2.986967086791992, ""TimesNet"": -1.083009958267212}","{""DLinear"": 2.438664674758911, ""ModernTCN"": -1.9898178577423096, ""PatchTST"": 3.8691301345825195, ""TimesNet"": -0.18891474604606628}",0.0323604941368103,0.0,0.0
62,1,1,4,PatchTST + iTransformer + TimesNet + ModernTCN,PatchTST,iTransformer,PatchTST,PatchTST,"{""ModernTCN"": 0.593706488609314, ""PatchTST"": 0.5599779486656189, ""TimesNet"": 0.654617428779602, ""iTransformer"": 0.6085742115974426}","{""ModernTCN"": 0.5597070455551147, ""PatchTST"": 0.6074386239051819, ""TimesNet"": 0.5538197755813599, ""iTransformer"": 0.5529428720474243}","{""ModernTCN"": -2.1079368591308594, ""PatchTST"": 3.2852602005004883, ""TimesNet"": -1.1027088165283203, ""iTransformer"": 0.014393836259841919}","{""ModernTCN"": -1.5398914813995361, ""PatchTST"": 4.268097400665283, ""TimesNet"": -0.14499899744987488, ""iTransformer"": 0.09532812237739563}",0.04859626293182373,0.0,0.0
63,1,1,5,DLinear + PatchTST + iTransformer + TimesNet + ModernTCN,PatchTST,DLinear,PatchTST,PatchTST,"{""DLinear"": 0.5923384428024292, ""ModernTCN"": 0.593706488609314, ""PatchTST"": 0.5599779486656189, ""TimesNet"": 0.654617428779602, ""iTransformer"": 0.6085742115974426}","{""DLinear"": 0.5163750648498535, ""ModernTCN"": 0.5597070455551147, ""PatchTST"": 0.6074386239051819, ""TimesNet"": 0.5538197755813599, ""iTransformer"": 0.5529428720474243}","{""DLinear"": 2.3452343940734863, ""ModernTCN"": -2.28580904006958, ""PatchTST"": 3.185182571411133, ""TimesNet"": -0.8747363090515137, ""iTransformer"": -0.1540391743183136}","{""DLinear"": 2.733783006668091, ""ModernTCN"": -1.683854579925537, ""PatchTST"": 4.255646705627441, ""TimesNet"": 0.16731655597686768, ""iTransformer"": -0.025721311569213867}",0.0323604941368103,0.0,0.0
70,2,2,2,DLinear + PatchTST,PatchTST,DLinear,DLinear,PatchTST,"{""DLinear"": 0.7447234392166138, ""PatchTST"": 0.7285911440849304}","{""DLinear"": 0.5163264870643616, ""PatchTST"": 0.6077132225036621}","{""DLinear"": 2.782822608947754, ""PatchTST"": 2.692049503326416}","{""DLinear"": 3.118504524230957, ""PatchTST"": 3.994077444076538}",0.01613229513168335,0.01613229513168335,0.0
74,2,2,2,PatchTST + iTransformer,PatchTST,iTransformer,PatchTST,PatchTST,"{""PatchTST"": 0.7285911440849304, ""iTransformer"": 0.7681260704994202}","{""PatchTST"": 0.6077132225036621, ""iTransformer"": 0.553191602230072}","{""PatchTST"": 2.8053977489471436, ""iTransformer"": -0.22661322355270386}","{""PatchTST"": 4.377700328826904, ""iTransformer"": 0.08562195301055908}",0.039534926414489746,0.0,0.0
75,2,2,2,PatchTST + TimesNet,PatchTST,TimesNet,PatchTST,PatchTST,"{""PatchTST"": 0.7285911440849304, ""TimesNet"": 0.7963131666183472}","{""PatchTST"": 0.6077132225036621, ""TimesNet"": 0.5539716482162476}","{""PatchTST"": 2.8643674850463867, ""TimesNet"": -2.1634981632232666}","{""PatchTST"": 3.8892014026641846, ""TimesNet"": -1.5610713958740234}",0.06772202253341675,0.0,0.0
76,2,2,2,PatchTST + ModernTCN,PatchTST,ModernTCN,PatchTST,PatchTST,"{""ModernTCN"": 0.7544171214103699, ""PatchTST"": 0.7285911440849304}","{""ModernTCN"": 0.5597367882728577, ""PatchTST"": 0.6077132225036621}","{""ModernTCN"": -3.237147331237793, ""PatchTST"": 2.73897647857666}","{""ModernTCN"": -2.727631092071533, ""PatchTST"": 3.612257242202759}",0.025825977325439453,0.0,0.0
80,2,2,3,DLinear + PatchTST + iTransformer,PatchTST,DLinear,PatchTST,PatchTST,"{""DLinear"": 0.7447234392166138, ""PatchTST"": 0.7285911440849304, ""iTransformer"": 0.7681260704994202}","{""DLinear"": 0.5163264870643616, ""PatchTST"": 0.6077132225036621, ""iTransformer"": 0.553191602230072}","{""DLinear"": 2.7968459129333496, ""PatchTST"": 3.071840763092041, ""iTransformer"": 0.1866617202758789}","{""DLinear"": 3.186264991760254, ""PatchTST"": 4.366175174713135, ""iTransformer"": 0.2627588212490082}",0.01613229513168335,0.0,0.0
81,2,2,3,DLinear + PatchTST + TimesNet,PatchTST,DLinear,PatchTST,PatchTST,"{""DLinear"": 0.7447234392166138, ""PatchTST"": 0.7285911440849304, ""TimesNet"": 0.7963131666183472}","{""DLinear"": 0.5163264870643616, ""PatchTST"": 0.6077132225036621, ""TimesNet"": 0.5539716482162476}","{""DLinear"": 2.470931053161621, ""PatchTST"": 2.8423962593078613, ""TimesNet"": -2.285224437713623}","{""DLinear"": 2.458556890487671, ""PatchTST"": 3.7149665355682373, ""TimesNet"": -1.771885871887207}",0.01613229513168335,0.0,0.0
82,2,2,3,DLinear + PatchTST + ModernTCN,PatchTST,DLinear,PatchTST,PatchTST,"{""DLinear"": 0.7447234392166138, ""ModernTCN"": 0.7544171214103699, ""PatchTST"": 0.7285911440849304}","{""DLinear"": 0.5163264870643616, ""ModernTCN"": 0.5597367882728577, ""PatchTST"": 0.6077132225036621}","{""DLinear"": 2.4067296981811523, ""ModernTCN"": -3.1255953311920166, ""PatchTST"": 3.017996311187744}","{""DLinear"": 2.361602783203125, ""ModernTCN"": -2.714651584625244, ""PatchTST"": 3.9324796199798584}",0.01613229513168335,0.0,0.0
86,2,2,3,PatchTST + iTransformer + TimesNet,PatchTST,iTransformer,PatchTST,PatchTST,"{""PatchTST"": 0.7285911440849304, ""TimesNet"": 0.7963131666183472, ""iTransformer"": 0.7681260704994202}","{""PatchTST"": 0.6077132225036621, ""TimesNet"": 0.5539716482162476, ""iTransformer"": 0.553191602230072}","{""PatchTST"": 3.262044906616211, ""TimesNet"": -1.8249129056930542, ""iTransformer"": 0.7944310903549194}","{""PatchTST"": 4.216286659240723, ""TimesNet"": -1.163578748703003, ""iTransformer"": 0.6798532605171204}",0.039534926414489746,0.0,0.0
87,2,2,3,PatchTST + iTransformer + ModernTCN,PatchTST,iTransformer,PatchTST,PatchTST,"{""ModernTCN"": 0.7544171214103699, ""PatchTST"": 0.7285911440849304, ""iTransformer"": 0.7681260704994202}","{""ModernTCN"": 0.5597367882728577, ""PatchTST"": 0.6077132225036621, ""iTransformer"": 0.553191602230072}","{""ModernTCN"": -2.8642172813415527, ""PatchTST"": 3.148135185241699, ""iTransformer"": 0.6559964418411255}","{""ModernTCN"": -2.2360031604766846, ""PatchTST"": 4.211793899536133, ""iTransformer"": 0.6870167851448059}",0.039534926414489746,0.0,0.0
88,2,2,3,PatchTST + TimesNet + ModernTCN,PatchTST,TimesNet,PatchTST,PatchTST,"{""ModernTCN"": 0.7544171214103699, ""PatchTST"": 0.7285911440849304, ""TimesNet"": 0.7963131666183472}","{""ModernTCN"": 0.5597367882728577, ""PatchTST"": 0.6077132225036621, ""TimesNet"": 0.5539716482162476}","{""ModernTCN"": -2.799997329711914, ""PatchTST"": 2.9814453125, ""TimesNet"": -2.031895160675049}","{""ModernTCN"": -2.5468504428863525, ""PatchTST"": 3.6493473052978516, ""TimesNet"": -1.621708631515503}",0.06772202253341675,0.0,0.0
90,2,2,4,DLinear + PatchTST + iTransformer + TimesNet,PatchTST,DLinear,PatchTST,PatchTST,"{""DLinear"": 0.7447234392166138, ""PatchTST"": 0.7285911440849304, ""TimesNet"": 0.7963131666183472, ""iTransformer"": 0.7681260704994202}","{""DLinear"": 0.5163264870643616, ""PatchTST"": 0.6077132225036621, ""TimesNet"": 0.5539716482162476, ""iTransformer"": 0.553191602230072}","{""DLinear"": 2.5214247703552246, ""PatchTST"": 3.222888469696045, ""TimesNet"": -1.8432072401046753, ""iTransformer"": 0.9138344526290894}","{""DLinear"": 2.596914768218994, ""PatchTST"": 4.110330581665039, ""TimesNet"": -1.21134352684021, ""iTransformer"": 0.7637827396392822}",0.01613229513168335,0.0,0.0
91,2,2,4,DLinear + PatchTST + iTransformer + ModernTCN,PatchTST,DLinear,PatchTST,PatchTST,"{""DLinear"": 0.7447234392166138, ""ModernTCN"": 0.7544171214103699, ""PatchTST"": 0.7285911440849304, ""iTransformer"": 0.7681260704994202}","{""DLinear"": 0.5163264870643616, ""ModernTCN"": 0.5597367882728577, ""PatchTST"": 0.6077132225036621, ""iTransformer"": 0.553191602230072}","{""DLinear"": 2.555206775665283, ""ModernTCN"": -2.8200860023498535, ""PatchTST"": 3.3155646324157715, ""iTransformer"": 0.33537861704826355}","{""DLinear"": 2.764180898666382, ""ModernTCN"": -2.23317551612854, ""PatchTST"": 4.4529032707214355, ""iTransformer"": 0.33146223425865173}",0.01613229513168335,0.0,0.0
92,2,2,4,DLinear + PatchTST + TimesNet + ModernTCN,PatchTST,DLinear,PatchTST,PatchTST,"{""DLinear"": 0.7447234392166138, ""ModernTCN"": 0.7544171214103699, ""PatchTST"": 0.7285911440849304, ""TimesNet"": 0.7963131666183472}","{""DLinear"": 0.5163264870643616, ""ModernTCN"": 0.5597367882728577, ""PatchTST"": 0.6077132225036621, ""TimesNet"": 0.5539716482162476}","{""DLinear"": 2.296572685241699, ""ModernTCN"": -2.922496795654297, ""PatchTST"": 2.941908359527588, ""TimesNet"": -2.00771164894104}","{""DLinear"": 2.1309304237365723, ""ModernTCN"": -2.672968626022339, ""PatchTST"": 3.6796796321868896, ""TimesNet"": -1.5286085605621338}",0.01613229513168335,0.0,0.0
94,2,2,4,PatchTST + iTransformer + TimesNet + ModernTCN,PatchTST,iTransformer,PatchTST,PatchTST,"{""ModernTCN"": 0.7544171214103699, ""PatchTST"": 0.7285911440849304, ""TimesNet"": 0.7963131666183472, ""iTransformer"": 0.7681260704994202}","{""ModernTCN"": 0.5597367882728577, ""PatchTST"": 0.6077132225036621, ""TimesNet"": 0.5539716482162476, ""iTransformer"": 0.553191602230072}","{""ModernTCN"": -2.6165075302124023, ""PatchTST"": 3.339355945587158, ""TimesNet"": -1.7761704921722412, ""iTransformer"": 0.9499510526657104}","{""ModernTCN"": -2.222015380859375, ""PatchTST"": 4.166475772857666, ""TimesNet"": -1.1993322372436523, ""iTransformer"": 0.8111506104469299}",0.039534926414489746,0.0,0.0
